,x,y,pen,strokeID,sketchID,photoID
0,440.83334,101.73334,1,0,0,n02691156_10151
1,400.59549,111.95716,2,0,0,n02691156_10151
2,320.03066,145.1,2,0,0,n02691156_10151
3,222.17466,177.91063,2,0,0,n02691156_10151
4,187.20131,196.06932,2,0,0,n02691156_10151
5,148.39995,223.49999,2,0,0,n02691156_10151
6,140.02078,242.39999,2,0,0,n02691156_10151
7,139.99995,255.69999,2,0,0,n02691156_10151
8,147.16928,268.61464,2,0,0,n02691156_10151
9,173.32144,283.89999,2,0,0,n02691156_10151
10,215.21061,280.28934,2,0,0,n02691156_10151
11,382.11458,175.33067,2,0,0,n02691156_10151
12,487.19997,103.61598,2,0,0,n02691156_10151
13,487.94662,98.89998,2,0,0,n02691156_10151
14,443.19998,100.61598,2,0,0,n02691156_10151
15,230.7,68.71433,1,1,0,n02691156_10151
16,249.39999,106.74268,2,1,0,n02691156_10151
17,267.99551,162.49019,2,1,0,n02691156_10151
18,224.5,64.9,1,2,0,n02691156_10151
19,203.01066,71.51065,2,2,0,n02691156_10151
20,214.99998,111.32148,2,2,0,n02691156_10151
21,216.99999,176.69997,2,2,0,n02691156_10151
22,281.83334,231.73333,1,3,0,n02691156_10151
23,459.56802,248.88927,2,3,0,n02691156_10151
24,459.0,252.5955,1,4,0,n02691156_10151
25,454.79999,274.9,2,4,0,n02691156_10151
26,369.45268,274.89551,2,4,0,n02691156_10151
27,319.5417,269.87918,2,4,0,n02691156_10151
28,261.20006,251.936,2,4,0,n02691156_10151
29,230.12156,247.67849,2,4,0,n02691156_10151
30,267.30007,238.89549,2,4,0,n02691156_10151
31,280.70008,230.25265,2,4,0,n02691156_10151
32,477.2955,93.591,1,5,0,n02691156_10151
33,488.94732,67.24283,2,5,0,n02691156_10151
34,496.99999,33.89999,2,5,0,n02691156_10151
35,516.9428,32.25716,2,5,0,n02691156_10151
36,507.89016,70.3,2,5,0,n02691156_10151
37,489.02087,97.4,2,5,0,n02691156_10151
38,481.79999,70.70133,1,6,0,n02691156_10151
39,455.12149,55.67883,2,6,0,n02691156_10151
40,454.05716,59.60983,2,6,0,n02691156_10151
41,453.57468,69.49999,2,6,0,n02691156_10151
42,474.87867,96.99982,2,6,0,n02691156_10151
43,494.48666,93.90134,1,7,0,n02691156_10151
44,555.94734,109.25269,2,7,0,n02691156_10151
45,553.03602,126.30002,2,7,0,n02691156_10151
46,509.60001,123.84736,2,7,0,n02691156_10151
47,482.484,109.18403,2,7,0,n02691156_10151
48,301.70984,268.95715,1,8,0,n02691156_10151
49,306.0,268.89999,2,8,0,n02691156_10151
50,292.28534,277.984,2,8,0,n02691156_10151
51,291.01068,288.27466,2,8,0,n02691156_10151
52,295.1,294.99986,2,8,0,n02691156_10151
53,314.16399,303.464,2,8,0,n02691156_10151
54,336.61064,299.33601,2,8,0,n02691156_10151
55,341.99998,276.50003,2,8,0,n02691156_10151
56,311.284,274.984,1,9,0,n02691156_10151
57,309.02084,290.37917,2,9,0,n02691156_10151
58,313.16666,292.73332,2,9,0,n02691156_10151
59,326.0,293.73332,2,9,0,n02691156_10151
60,330.0,277.59998,2,9,0,n02691156_10151
61,212.5,150.89999,1,10,0,n02691156_10151
62,202.716,152.81599,2,10,0,n02691156_10151
63,196.00133,159.70135,2,10,0,n02691156_10151
64,194.0,180.50001,2,10,0,n02691156_10151
65,198.09984,184.90018,2,10,0,n02691156_10151
66,211.01067,164.51066,1,11,0,n02691156_10151
67,208.09984,180.90015,2,11,0,n02691156_10151
68,143.2,257.1,1,12,0,n02691156_10151
69,156.0,271.6,2,12,0,n02691156_10151
70,147.35265,270.84731,2,12,0,n02691156_10151
71,144.60265,260.98665,2,12,0,n02691156_10151
72,153.33601,270.35718,2,12,0,n02691156_10151
